identifier,creator,title,date,downloads,venue
1998-02-27.paf.naks.rightmyer.6409.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1998-02-27,1998-02-27T00:00:00Z,14528,Fillmore Auditorium
1998-03-26.paf.naks.rightmyer.6410.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1998-03-26,1998-03-26T00:00:00Z,35274,Fillmore Auditorium
1998-04-20.paf.neumann.vernon.8980.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1998-04-20,1998-04-20T00:00:00Z,7879,Warfield Theater
1998-08-07.paf.neumann.unknown.1509.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1998-08-07,1998-08-07T00:00:00Z,5297,Fillmore Auditorium
1998-08-08.aud.unknown.27713.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1998-08-08,1998-08-08T00:00:00Z,4016,Fillmore Auditorium
1998-08-08.paf.psbd.unknown.6520.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1998-08-08,1998-08-08T00:00:00Z,4724,Fillmore Auditorium
1998-08-08.paf.unknown.unknown.1510.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Fillmore Auditorium on 1998-08-08,1998-08-08T00:00:00Z,11104,Fillmore Auditorium
1999-04-15.paf.DTS.dan.27695.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,6365,Warfield Theater
1999-04-15.paf.DVD-A.dan.27795.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,7614,Warfield Theater
1999-04-15.paf.MTX.dan.27694.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,19050,Warfield Theater
1999-04-15.paf.sbd.ejade.6411.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,4432,Warfield Theater
1999-04-15.paf.sbd.miller.25295.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,132842,Warfield Theater
1999-04-15.paf.sbd.tomthumb.6412.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,10528,Warfield Theater
1999-04-15.paf.sbd.unknown.4151.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,30919,Warfield Theater
1999-04-15.paf.schoeps.shiffman.2611.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-15,1999-04-15T00:00:00Z,12209,Warfield Theater
1999-04-16.paf.DTS.dan.27755.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,4409,Warfield Theater
1999-04-16.paf.MTX.dan.27712.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,8387,Warfield Theater
1999-04-16.paf.sbd.ejade.6413.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,45983,Warfield Theater
1999-04-16.paf.sbd.miller.25296.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,88353,Warfield Theater
1999-04-16.paf.sbd.tomthumb.6414.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,8916,Warfield Theater
1999-04-16.paf.sbd.unknown.10169.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,205936,Warfield Theater
1999-04-16.paf.schoeps.shiffman.1477.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,43026,Warfield Theater
1999-04-16.paf.schoeps.shiffman.2612.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-16,1999-04-16T00:00:00Z,17791,Warfield Theater
1999-04-17.paf.DTS.dan.27762.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,4128,Warfield Theater
1999-04-17.paf.MTX.dan.27763.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,28620,Warfield Theater
1999-04-17.paf.sbd.ejade.6415.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,19990,Warfield Theater
1999-04-17.paf.sbd.miller.25297.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,91694,Warfield Theater
1999-04-17.paf.sbd.tomthumb.6416.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,8210,Warfield Theater
1999-04-17.paf.sbd.unknown.10170.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,13062,Warfield Theater
1999-04-17.paf.schoeps.grandujr.1482.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-04-17,1999-04-17T00:00:00Z,10634,Warfield Theater
1999-04-27.paf.aud.seff.1483.sbefail.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Luther Burbank Center on 1999-04-27,1999-04-27T00:00:00Z,4394,Luther Burbank Center
